run_name,run_dir,config_path,method_name,core_method,noise_name,loc_err,xyz_std,ryp_std,seed,cov_log_filename,enable_status_based_skip,enable_ok_tail_vertical_blur,vertical_blur_use_ty_only,blur_sigma_scale,enable_uncertainty_fusion,uncertainty_fusion_mode,uncertainty_conf_alpha,uncertainty_conf_trace_clip,uncertainty_conf_min,uncertainty_conf_max,uncertainty_status_min_conf,uncertainty_attention_bias_strength
uncertainty_fusion_attbias_a0p80_b1p5__pos_1p5_rot_8p0__xyz1p5__ryp8__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p80_b1p5__pos_1p5_rot_8p0__xyz1p5__ryp8__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p80_b1p5__pos_1p5_rot_8p0__xyz1p5__ryp8__seed20/config.yaml,uncertainty_fusion_attbias_a0p80_b1p5,point_pillar_where2comm_our,pos_1p5_rot_8p0,True,1.5,8.0,20,uncertainty_fusion_attbias_a0p80_b1p5__pos_1p5_rot_8p0__xyz1p5__ryp8__seed20.csv,False,False,False,0.05,True,attention_bias,0.8,50.0,0.05,1.0,0.05,1.5
uncertainty_fusion_attbias_a0p80_b2p5__pos_1p5_rot_8p0__xyz1p5__ryp8__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p80_b2p5__pos_1p5_rot_8p0__xyz1p5__ryp8__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p80_b2p5__pos_1p5_rot_8p0__xyz1p5__ryp8__seed20/config.yaml,uncertainty_fusion_attbias_a0p80_b2p5,point_pillar_where2comm_our,pos_1p5_rot_8p0,True,1.5,8.0,20,uncertainty_fusion_attbias_a0p80_b2p5__pos_1p5_rot_8p0__xyz1p5__ryp8__seed20.csv,False,False,False,0.05,True,attention_bias,0.8,50.0,0.05,1.0,0.05,2.5
uncertainty_fusion_attbias_a0p80_b3p5__pos_1p5_rot_8p0__xyz1p5__ryp8__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p80_b3p5__pos_1p5_rot_8p0__xyz1p5__ryp8__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p80_b3p5__pos_1p5_rot_8p0__xyz1p5__ryp8__seed20/config.yaml,uncertainty_fusion_attbias_a0p80_b3p5,point_pillar_where2comm_our,pos_1p5_rot_8p0,True,1.5,8.0,20,uncertainty_fusion_attbias_a0p80_b3p5__pos_1p5_rot_8p0__xyz1p5__ryp8__seed20.csv,False,False,False,0.05,True,attention_bias,0.8,50.0,0.05,1.0,0.05,3.5
uncertainty_fusion_attbias_a0p80_b8p0__pos_1p5_rot_8p0__xyz1p5__ryp8__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p80_b8p0__pos_1p5_rot_8p0__xyz1p5__ryp8__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p80_b8p0__pos_1p5_rot_8p0__xyz1p5__ryp8__seed20/config.yaml,uncertainty_fusion_attbias_a0p80_b8p0,point_pillar_where2comm_our,pos_1p5_rot_8p0,True,1.5,8.0,20,uncertainty_fusion_attbias_a0p80_b8p0__pos_1p5_rot_8p0__xyz1p5__ryp8__seed20.csv,False,False,False,0.05,True,attention_bias,0.8,50.0,0.05,1.0,0.05,8.0
uncertainty_fusion_attbias_a0p20_b1p5__pos_1p5_rot_14p0__xyz1p5__ryp14__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p20_b1p5__pos_1p5_rot_14p0__xyz1p5__ryp14__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p20_b1p5__pos_1p5_rot_14p0__xyz1p5__ryp14__seed20/config.yaml,uncertainty_fusion_attbias_a0p20_b1p5,point_pillar_where2comm_our,pos_1p5_rot_14p0,True,1.5,14.0,20,uncertainty_fusion_attbias_a0p20_b1p5__pos_1p5_rot_14p0__xyz1p5__ryp14__seed20.csv,False,False,False,0.05,True,attention_bias,0.2,50.0,0.05,1.0,0.05,1.5
uncertainty_fusion_attbias_a0p20_b2p5__pos_1p5_rot_14p0__xyz1p5__ryp14__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p20_b2p5__pos_1p5_rot_14p0__xyz1p5__ryp14__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p20_b2p5__pos_1p5_rot_14p0__xyz1p5__ryp14__seed20/config.yaml,uncertainty_fusion_attbias_a0p20_b2p5,point_pillar_where2comm_our,pos_1p5_rot_14p0,True,1.5,14.0,20,uncertainty_fusion_attbias_a0p20_b2p5__pos_1p5_rot_14p0__xyz1p5__ryp14__seed20.csv,False,False,False,0.05,True,attention_bias,0.2,50.0,0.05,1.0,0.05,2.5
uncertainty_fusion_attbias_a0p20_b3p5__pos_1p5_rot_14p0__xyz1p5__ryp14__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p20_b3p5__pos_1p5_rot_14p0__xyz1p5__ryp14__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p20_b3p5__pos_1p5_rot_14p0__xyz1p5__ryp14__seed20/config.yaml,uncertainty_fusion_attbias_a0p20_b3p5,point_pillar_where2comm_our,pos_1p5_rot_14p0,True,1.5,14.0,20,uncertainty_fusion_attbias_a0p20_b3p5__pos_1p5_rot_14p0__xyz1p5__ryp14__seed20.csv,False,False,False,0.05,True,attention_bias,0.2,50.0,0.05,1.0,0.05,3.5
uncertainty_fusion_attbias_a0p20_b8p0__pos_1p5_rot_14p0__xyz1p5__ryp14__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p20_b8p0__pos_1p5_rot_14p0__xyz1p5__ryp14__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p20_b8p0__pos_1p5_rot_14p0__xyz1p5__ryp14__seed20/config.yaml,uncertainty_fusion_attbias_a0p20_b8p0,point_pillar_where2comm_our,pos_1p5_rot_14p0,True,1.5,14.0,20,uncertainty_fusion_attbias_a0p20_b8p0__pos_1p5_rot_14p0__xyz1p5__ryp14__seed20.csv,False,False,False,0.05,True,attention_bias,0.2,50.0,0.05,1.0,0.05,8.0
uncertainty_fusion_attbias_a0p30_b1p5__pos_1p5_rot_14p0__xyz1p5__ryp14__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p30_b1p5__pos_1p5_rot_14p0__xyz1p5__ryp14__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p30_b1p5__pos_1p5_rot_14p0__xyz1p5__ryp14__seed20/config.yaml,uncertainty_fusion_attbias_a0p30_b1p5,point_pillar_where2comm_our,pos_1p5_rot_14p0,True,1.5,14.0,20,uncertainty_fusion_attbias_a0p30_b1p5__pos_1p5_rot_14p0__xyz1p5__ryp14__seed20.csv,False,False,False,0.05,True,attention_bias,0.3,50.0,0.05,1.0,0.05,1.5
uncertainty_fusion_attbias_a0p30_b2p5__pos_1p5_rot_14p0__xyz1p5__ryp14__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p30_b2p5__pos_1p5_rot_14p0__xyz1p5__ryp14__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p30_b2p5__pos_1p5_rot_14p0__xyz1p5__ryp14__seed20/config.yaml,uncertainty_fusion_attbias_a0p30_b2p5,point_pillar_where2comm_our,pos_1p5_rot_14p0,True,1.5,14.0,20,uncertainty_fusion_attbias_a0p30_b2p5__pos_1p5_rot_14p0__xyz1p5__ryp14__seed20.csv,False,False,False,0.05,True,attention_bias,0.3,50.0,0.05,1.0,0.05,2.5
uncertainty_fusion_attbias_a0p30_b3p5__pos_1p5_rot_14p0__xyz1p5__ryp14__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p30_b3p5__pos_1p5_rot_14p0__xyz1p5__ryp14__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p30_b3p5__pos_1p5_rot_14p0__xyz1p5__ryp14__seed20/config.yaml,uncertainty_fusion_attbias_a0p30_b3p5,point_pillar_where2comm_our,pos_1p5_rot_14p0,True,1.5,14.0,20,uncertainty_fusion_attbias_a0p30_b3p5__pos_1p5_rot_14p0__xyz1p5__ryp14__seed20.csv,False,False,False,0.05,True,attention_bias,0.3,50.0,0.05,1.0,0.05,3.5
uncertainty_fusion_attbias_a0p30_b8p0__pos_1p5_rot_14p0__xyz1p5__ryp14__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p30_b8p0__pos_1p5_rot_14p0__xyz1p5__ryp14__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p30_b8p0__pos_1p5_rot_14p0__xyz1p5__ryp14__seed20/config.yaml,uncertainty_fusion_attbias_a0p30_b8p0,point_pillar_where2comm_our,pos_1p5_rot_14p0,True,1.5,14.0,20,uncertainty_fusion_attbias_a0p30_b8p0__pos_1p5_rot_14p0__xyz1p5__ryp14__seed20.csv,False,False,False,0.05,True,attention_bias,0.3,50.0,0.05,1.0,0.05,8.0
uncertainty_fusion_attbias_a0p80_b1p5__pos_1p5_rot_14p0__xyz1p5__ryp14__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p80_b1p5__pos_1p5_rot_14p0__xyz1p5__ryp14__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p80_b1p5__pos_1p5_rot_14p0__xyz1p5__ryp14__seed20/config.yaml,uncertainty_fusion_attbias_a0p80_b1p5,point_pillar_where2comm_our,pos_1p5_rot_14p0,True,1.5,14.0,20,uncertainty_fusion_attbias_a0p80_b1p5__pos_1p5_rot_14p0__xyz1p5__ryp14__seed20.csv,False,False,False,0.05,True,attention_bias,0.8,50.0,0.05,1.0,0.05,1.5
uncertainty_fusion_attbias_a0p80_b2p5__pos_1p5_rot_14p0__xyz1p5__ryp14__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p80_b2p5__pos_1p5_rot_14p0__xyz1p5__ryp14__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p80_b2p5__pos_1p5_rot_14p0__xyz1p5__ryp14__seed20/config.yaml,uncertainty_fusion_attbias_a0p80_b2p5,point_pillar_where2comm_our,pos_1p5_rot_14p0,True,1.5,14.0,20,uncertainty_fusion_attbias_a0p80_b2p5__pos_1p5_rot_14p0__xyz1p5__ryp14__seed20.csv,False,False,False,0.05,True,attention_bias,0.8,50.0,0.05,1.0,0.05,2.5
uncertainty_fusion_attbias_a0p80_b3p5__pos_1p5_rot_14p0__xyz1p5__ryp14__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p80_b3p5__pos_1p5_rot_14p0__xyz1p5__ryp14__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p80_b3p5__pos_1p5_rot_14p0__xyz1p5__ryp14__seed20/config.yaml,uncertainty_fusion_attbias_a0p80_b3p5,point_pillar_where2comm_our,pos_1p5_rot_14p0,True,1.5,14.0,20,uncertainty_fusion_attbias_a0p80_b3p5__pos_1p5_rot_14p0__xyz1p5__ryp14__seed20.csv,False,False,False,0.05,True,attention_bias,0.8,50.0,0.05,1.0,0.05,3.5
uncertainty_fusion_attbias_a0p80_b8p0__pos_1p5_rot_14p0__xyz1p5__ryp14__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p80_b8p0__pos_1p5_rot_14p0__xyz1p5__ryp14__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p80_b8p0__pos_1p5_rot_14p0__xyz1p5__ryp14__seed20/config.yaml,uncertainty_fusion_attbias_a0p80_b8p0,point_pillar_where2comm_our,pos_1p5_rot_14p0,True,1.5,14.0,20,uncertainty_fusion_attbias_a0p80_b8p0__pos_1p5_rot_14p0__xyz1p5__ryp14__seed20.csv,False,False,False,0.05,True,attention_bias,0.8,50.0,0.05,1.0,0.05,8.0
uncertainty_fusion_attbias_a0p20_b1p5__pos_2p0_rot_4p0__xyz2__ryp4__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p20_b1p5__pos_2p0_rot_4p0__xyz2__ryp4__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p20_b1p5__pos_2p0_rot_4p0__xyz2__ryp4__seed20/config.yaml,uncertainty_fusion_attbias_a0p20_b1p5,point_pillar_where2comm_our,pos_2p0_rot_4p0,True,2.0,4.0,20,uncertainty_fusion_attbias_a0p20_b1p5__pos_2p0_rot_4p0__xyz2__ryp4__seed20.csv,False,False,False,0.05,True,attention_bias,0.2,50.0,0.05,1.0,0.05,1.5
uncertainty_fusion_attbias_a0p20_b2p5__pos_2p0_rot_4p0__xyz2__ryp4__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p20_b2p5__pos_2p0_rot_4p0__xyz2__ryp4__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p20_b2p5__pos_2p0_rot_4p0__xyz2__ryp4__seed20/config.yaml,uncertainty_fusion_attbias_a0p20_b2p5,point_pillar_where2comm_our,pos_2p0_rot_4p0,True,2.0,4.0,20,uncertainty_fusion_attbias_a0p20_b2p5__pos_2p0_rot_4p0__xyz2__ryp4__seed20.csv,False,False,False,0.05,True,attention_bias,0.2,50.0,0.05,1.0,0.05,2.5
uncertainty_fusion_attbias_a0p20_b3p5__pos_2p0_rot_4p0__xyz2__ryp4__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p20_b3p5__pos_2p0_rot_4p0__xyz2__ryp4__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p20_b3p5__pos_2p0_rot_4p0__xyz2__ryp4__seed20/config.yaml,uncertainty_fusion_attbias_a0p20_b3p5,point_pillar_where2comm_our,pos_2p0_rot_4p0,True,2.0,4.0,20,uncertainty_fusion_attbias_a0p20_b3p5__pos_2p0_rot_4p0__xyz2__ryp4__seed20.csv,False,False,False,0.05,True,attention_bias,0.2,50.0,0.05,1.0,0.05,3.5
uncertainty_fusion_attbias_a0p20_b8p0__pos_2p0_rot_4p0__xyz2__ryp4__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p20_b8p0__pos_2p0_rot_4p0__xyz2__ryp4__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p20_b8p0__pos_2p0_rot_4p0__xyz2__ryp4__seed20/config.yaml,uncertainty_fusion_attbias_a0p20_b8p0,point_pillar_where2comm_our,pos_2p0_rot_4p0,True,2.0,4.0,20,uncertainty_fusion_attbias_a0p20_b8p0__pos_2p0_rot_4p0__xyz2__ryp4__seed20.csv,False,False,False,0.05,True,attention_bias,0.2,50.0,0.05,1.0,0.05,8.0
uncertainty_fusion_attbias_a0p30_b1p5__pos_2p0_rot_4p0__xyz2__ryp4__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p30_b1p5__pos_2p0_rot_4p0__xyz2__ryp4__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p30_b1p5__pos_2p0_rot_4p0__xyz2__ryp4__seed20/config.yaml,uncertainty_fusion_attbias_a0p30_b1p5,point_pillar_where2comm_our,pos_2p0_rot_4p0,True,2.0,4.0,20,uncertainty_fusion_attbias_a0p30_b1p5__pos_2p0_rot_4p0__xyz2__ryp4__seed20.csv,False,False,False,0.05,True,attention_bias,0.3,50.0,0.05,1.0,0.05,1.5
uncertainty_fusion_attbias_a0p30_b2p5__pos_2p0_rot_4p0__xyz2__ryp4__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p30_b2p5__pos_2p0_rot_4p0__xyz2__ryp4__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p30_b2p5__pos_2p0_rot_4p0__xyz2__ryp4__seed20/config.yaml,uncertainty_fusion_attbias_a0p30_b2p5,point_pillar_where2comm_our,pos_2p0_rot_4p0,True,2.0,4.0,20,uncertainty_fusion_attbias_a0p30_b2p5__pos_2p0_rot_4p0__xyz2__ryp4__seed20.csv,False,False,False,0.05,True,attention_bias,0.3,50.0,0.05,1.0,0.05,2.5
uncertainty_fusion_attbias_a0p30_b3p5__pos_2p0_rot_4p0__xyz2__ryp4__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p30_b3p5__pos_2p0_rot_4p0__xyz2__ryp4__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p30_b3p5__pos_2p0_rot_4p0__xyz2__ryp4__seed20/config.yaml,uncertainty_fusion_attbias_a0p30_b3p5,point_pillar_where2comm_our,pos_2p0_rot_4p0,True,2.0,4.0,20,uncertainty_fusion_attbias_a0p30_b3p5__pos_2p0_rot_4p0__xyz2__ryp4__seed20.csv,False,False,False,0.05,True,attention_bias,0.3,50.0,0.05,1.0,0.05,3.5
uncertainty_fusion_attbias_a0p30_b8p0__pos_2p0_rot_4p0__xyz2__ryp4__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p30_b8p0__pos_2p0_rot_4p0__xyz2__ryp4__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p30_b8p0__pos_2p0_rot_4p0__xyz2__ryp4__seed20/config.yaml,uncertainty_fusion_attbias_a0p30_b8p0,point_pillar_where2comm_our,pos_2p0_rot_4p0,True,2.0,4.0,20,uncertainty_fusion_attbias_a0p30_b8p0__pos_2p0_rot_4p0__xyz2__ryp4__seed20.csv,False,False,False,0.05,True,attention_bias,0.3,50.0,0.05,1.0,0.05,8.0
uncertainty_fusion_attbias_a0p80_b1p5__pos_2p0_rot_4p0__xyz2__ryp4__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p80_b1p5__pos_2p0_rot_4p0__xyz2__ryp4__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p80_b1p5__pos_2p0_rot_4p0__xyz2__ryp4__seed20/config.yaml,uncertainty_fusion_attbias_a0p80_b1p5,point_pillar_where2comm_our,pos_2p0_rot_4p0,True,2.0,4.0,20,uncertainty_fusion_attbias_a0p80_b1p5__pos_2p0_rot_4p0__xyz2__ryp4__seed20.csv,False,False,False,0.05,True,attention_bias,0.8,50.0,0.05,1.0,0.05,1.5
uncertainty_fusion_attbias_a0p80_b2p5__pos_2p0_rot_4p0__xyz2__ryp4__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p80_b2p5__pos_2p0_rot_4p0__xyz2__ryp4__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p80_b2p5__pos_2p0_rot_4p0__xyz2__ryp4__seed20/config.yaml,uncertainty_fusion_attbias_a0p80_b2p5,point_pillar_where2comm_our,pos_2p0_rot_4p0,True,2.0,4.0,20,uncertainty_fusion_attbias_a0p80_b2p5__pos_2p0_rot_4p0__xyz2__ryp4__seed20.csv,False,False,False,0.05,True,attention_bias,0.8,50.0,0.05,1.0,0.05,2.5
uncertainty_fusion_attbias_a0p80_b3p5__pos_2p0_rot_4p0__xyz2__ryp4__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p80_b3p5__pos_2p0_rot_4p0__xyz2__ryp4__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p80_b3p5__pos_2p0_rot_4p0__xyz2__ryp4__seed20/config.yaml,uncertainty_fusion_attbias_a0p80_b3p5,point_pillar_where2comm_our,pos_2p0_rot_4p0,True,2.0,4.0,20,uncertainty_fusion_attbias_a0p80_b3p5__pos_2p0_rot_4p0__xyz2__ryp4__seed20.csv,False,False,False,0.05,True,attention_bias,0.8,50.0,0.05,1.0,0.05,3.5
uncertainty_fusion_attbias_a0p80_b8p0__pos_2p0_rot_4p0__xyz2__ryp4__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p80_b8p0__pos_2p0_rot_4p0__xyz2__ryp4__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p80_b8p0__pos_2p0_rot_4p0__xyz2__ryp4__seed20/config.yaml,uncertainty_fusion_attbias_a0p80_b8p0,point_pillar_where2comm_our,pos_2p0_rot_4p0,True,2.0,4.0,20,uncertainty_fusion_attbias_a0p80_b8p0__pos_2p0_rot_4p0__xyz2__ryp4__seed20.csv,False,False,False,0.05,True,attention_bias,0.8,50.0,0.05,1.0,0.05,8.0
uncertainty_fusion_attbias_a0p20_b1p5__pos_2p0_rot_8p0__xyz2__ryp8__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p20_b1p5__pos_2p0_rot_8p0__xyz2__ryp8__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p20_b1p5__pos_2p0_rot_8p0__xyz2__ryp8__seed20/config.yaml,uncertainty_fusion_attbias_a0p20_b1p5,point_pillar_where2comm_our,pos_2p0_rot_8p0,True,2.0,8.0,20,uncertainty_fusion_attbias_a0p20_b1p5__pos_2p0_rot_8p0__xyz2__ryp8__seed20.csv,False,False,False,0.05,True,attention_bias,0.2,50.0,0.05,1.0,0.05,1.5
uncertainty_fusion_attbias_a0p20_b2p5__pos_2p0_rot_8p0__xyz2__ryp8__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p20_b2p5__pos_2p0_rot_8p0__xyz2__ryp8__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p20_b2p5__pos_2p0_rot_8p0__xyz2__ryp8__seed20/config.yaml,uncertainty_fusion_attbias_a0p20_b2p5,point_pillar_where2comm_our,pos_2p0_rot_8p0,True,2.0,8.0,20,uncertainty_fusion_attbias_a0p20_b2p5__pos_2p0_rot_8p0__xyz2__ryp8__seed20.csv,False,False,False,0.05,True,attention_bias,0.2,50.0,0.05,1.0,0.05,2.5
uncertainty_fusion_attbias_a0p20_b3p5__pos_2p0_rot_8p0__xyz2__ryp8__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p20_b3p5__pos_2p0_rot_8p0__xyz2__ryp8__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p20_b3p5__pos_2p0_rot_8p0__xyz2__ryp8__seed20/config.yaml,uncertainty_fusion_attbias_a0p20_b3p5,point_pillar_where2comm_our,pos_2p0_rot_8p0,True,2.0,8.0,20,uncertainty_fusion_attbias_a0p20_b3p5__pos_2p0_rot_8p0__xyz2__ryp8__seed20.csv,False,False,False,0.05,True,attention_bias,0.2,50.0,0.05,1.0,0.05,3.5
uncertainty_fusion_attbias_a0p20_b8p0__pos_2p0_rot_8p0__xyz2__ryp8__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p20_b8p0__pos_2p0_rot_8p0__xyz2__ryp8__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p20_b8p0__pos_2p0_rot_8p0__xyz2__ryp8__seed20/config.yaml,uncertainty_fusion_attbias_a0p20_b8p0,point_pillar_where2comm_our,pos_2p0_rot_8p0,True,2.0,8.0,20,uncertainty_fusion_attbias_a0p20_b8p0__pos_2p0_rot_8p0__xyz2__ryp8__seed20.csv,False,False,False,0.05,True,attention_bias,0.2,50.0,0.05,1.0,0.05,8.0
uncertainty_fusion_attbias_a0p30_b1p5__pos_2p0_rot_8p0__xyz2__ryp8__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p30_b1p5__pos_2p0_rot_8p0__xyz2__ryp8__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p30_b1p5__pos_2p0_rot_8p0__xyz2__ryp8__seed20/config.yaml,uncertainty_fusion_attbias_a0p30_b1p5,point_pillar_where2comm_our,pos_2p0_rot_8p0,True,2.0,8.0,20,uncertainty_fusion_attbias_a0p30_b1p5__pos_2p0_rot_8p0__xyz2__ryp8__seed20.csv,False,False,False,0.05,True,attention_bias,0.3,50.0,0.05,1.0,0.05,1.5
uncertainty_fusion_attbias_a0p30_b2p5__pos_2p0_rot_8p0__xyz2__ryp8__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p30_b2p5__pos_2p0_rot_8p0__xyz2__ryp8__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p30_b2p5__pos_2p0_rot_8p0__xyz2__ryp8__seed20/config.yaml,uncertainty_fusion_attbias_a0p30_b2p5,point_pillar_where2comm_our,pos_2p0_rot_8p0,True,2.0,8.0,20,uncertainty_fusion_attbias_a0p30_b2p5__pos_2p0_rot_8p0__xyz2__ryp8__seed20.csv,False,False,False,0.05,True,attention_bias,0.3,50.0,0.05,1.0,0.05,2.5
uncertainty_fusion_attbias_a0p30_b3p5__pos_2p0_rot_8p0__xyz2__ryp8__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p30_b3p5__pos_2p0_rot_8p0__xyz2__ryp8__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p30_b3p5__pos_2p0_rot_8p0__xyz2__ryp8__seed20/config.yaml,uncertainty_fusion_attbias_a0p30_b3p5,point_pillar_where2comm_our,pos_2p0_rot_8p0,True,2.0,8.0,20,uncertainty_fusion_attbias_a0p30_b3p5__pos_2p0_rot_8p0__xyz2__ryp8__seed20.csv,False,False,False,0.05,True,attention_bias,0.3,50.0,0.05,1.0,0.05,3.5
uncertainty_fusion_attbias_a0p30_b8p0__pos_2p0_rot_8p0__xyz2__ryp8__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p30_b8p0__pos_2p0_rot_8p0__xyz2__ryp8__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p30_b8p0__pos_2p0_rot_8p0__xyz2__ryp8__seed20/config.yaml,uncertainty_fusion_attbias_a0p30_b8p0,point_pillar_where2comm_our,pos_2p0_rot_8p0,True,2.0,8.0,20,uncertainty_fusion_attbias_a0p30_b8p0__pos_2p0_rot_8p0__xyz2__ryp8__seed20.csv,False,False,False,0.05,True,attention_bias,0.3,50.0,0.05,1.0,0.05,8.0
uncertainty_fusion_attbias_a0p80_b1p5__pos_2p0_rot_8p0__xyz2__ryp8__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p80_b1p5__pos_2p0_rot_8p0__xyz2__ryp8__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p80_b1p5__pos_2p0_rot_8p0__xyz2__ryp8__seed20/config.yaml,uncertainty_fusion_attbias_a0p80_b1p5,point_pillar_where2comm_our,pos_2p0_rot_8p0,True,2.0,8.0,20,uncertainty_fusion_attbias_a0p80_b1p5__pos_2p0_rot_8p0__xyz2__ryp8__seed20.csv,False,False,False,0.05,True,attention_bias,0.8,50.0,0.05,1.0,0.05,1.5
uncertainty_fusion_attbias_a0p80_b2p5__pos_2p0_rot_8p0__xyz2__ryp8__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p80_b2p5__pos_2p0_rot_8p0__xyz2__ryp8__seed20,opencood/pretrained/feaco/generated_uncertainty_fusion_attbias_a0p80_b2p5__pos_2p0_rot_8p0__xyz2__ryp8__seed20/config.yaml,uncertainty_fusion_attbias_a0p80_b2p5,point_pillar_where2comm_our,pos_2p0_rot_8p0,True,2.0,8.0,20,uncertainty_fusion_attbias_a0p80_b2p5__pos_2p0_rot_8p0__xyz2__ryp8__seed20.csv,False,False,False,0.05,True,attention_bias,0.8,50.0,0.05,1.0,0.05,2.5
